,imdb_id,genres,region,averageRating,numVotes,backdrop_path,budget,original_language,overview,poster_path,release_date,revenue,runtime,tagline,url_trailer,mot_cle,popularity,title,originalTitle,vote_count,vote_average
0,tt0052698,"Crime,Drama,Romance",FR,7.5,4269,https://image.tmdb.org/t/p/w500/2W1NFZ7E4OAhIVa8vZLbD1WWQ05.jpg,0,fr,"On crowded Milan streets, two men execute a split-second payroll heist-in broad daylight-then begin a lightning-paced getaway, via every conveyance available. But after all, when a tough guy's returning to France (where he's been sentenced to death in absentia) after holing up in Italy for nearly a decade, he's got to have some startup money--particularly if he's going back with the wife and kids.",https://image.tmdb.org/t/p/w500/uMiuUAlPwiWDKSgu4SoShpzvMR.jpg,1960,0,110,Tough Gangster Action,,"['friends', 'fugitive', 'police chase', 'criminal', 'french noir']",5.843,Classe tous risques,Classe tous risques,109,7.05
1,tt0052811,"Crime,Drama,Thriller",FR,6.9,2319,https://image.tmdb.org/t/p/w500/lmC20MRqpS9BBFYkFm1J1adcCiY.jpg,0,en,Edinburgh surgeon Dr. Robert Knox requires cadavers for his research into the functioning of the human body; local ne'er-do-wells Burke and Hare find ways to provide him with fresh specimens...,https://image.tmdb.org/t/p/w500/9crqR3YowhiT7UMb7FEZTVfKFXf.jpg,1960,0,94,Coffins Looted! Cadavers Dissected!,,"['experiment', 'surgeon', 'body snatchers']",2.618,L'impasse aux Violences,The Flesh and the Fiends,44,6.557
2,tt0052832,"Drama,Romance",FR,7.1,7122,https://image.tmdb.org/t/p/w500/yciP2XXtEmhEDeAEfBmlLDso1GM.jpg,0,en,"Val Xavier, a drifter of obscure origins, arrives at a small town and gets a job in a store run by Lady Torrence. Her husband, Jabe M. Torrance, is dying of cancer. Val is pursued by Carol Cutere, the enigmatic local tramp-of-good-family.",https://image.tmdb.org/t/p/w500/ta2ircBtQs8EZXe6QznCI5J6N3i.jpg,1960,0,119,With a guitar and a snake skin jacket he drifted out of the rain...and into the lives of these two women...,https://www.youtube.com/watch?v=HfcOy1vgSic,['black and white'],5.982,L'Homme à la peau de serpent,The Fugitive Kind,101,6.891
3,tt0052961,"Drama,War",FR,7.6,2588,https://image.tmdb.org/t/p/w500/b0JdDWFV5q797ptrZpVscKN46Ub.jpg,0,it,"Determined to survive at any price, Edith, a young Jewish woman deported to an extermination camp, manages to survive by accepting the role of kapo, a privileged prisoner whose mission is to ruthlessly guard other prisoners.",https://image.tmdb.org/t/p/w500/lAd0NUnvTFkgcwbJmbx0sffn7Bk.jpg,1960,0,117,,,['concentration camp'],5.454,Kapò,Kapò,72,6.91
4,tt0052997,"Comedy,Crime,Drama",FR,7.2,5270,https://image.tmdb.org/t/p/w500/wRNLvGcqzne6wZ5YiEFOo9dckPi.jpg,0,en,"Involuntarily-retired Colonel Hyde recruits seven other dissatisfied ex-servicemen for a special project. Each of the men has a skeleton in the cupboard, is short of money, and is a service-trained expert in his field. The job is a bank robbery, and military discipline and planning are imposed by Hyde and second-in-command Race on the team, although civilian irritations do start getting in the way.",https://image.tmdb.org/t/p/w500/6lJvpL5Z3qZxegmJHUpjGsWROtW.jpg,1960,0,116,What is the league ... Who are the gentlemen ?,,"['war veteran', 'bank robber', 'gang of thieves', 'heist']",5.157,Hold-up à Londres,The League of Gentlemen,86,7.052
5,tt0053106,"Adventure,Drama",FR,7.8,4215,https://image.tmdb.org/t/p/w500/lCxKoS6zdWDohqm3rqyRipErb9L.jpg,0,ru,"Four geologists are searching for diamonds in the wilderness of Siberia. After a long and tiresome journey they manage to find their luck and put the diamond mine on the map. The map must be delivered back to Moscow. But on the day of their departure a terrible forest fire wreaks havoc, and the geologists get trapped in the woods.",https://image.tmdb.org/t/p/w500/5jtn00Lv0YjVvyQEj29o4UkRs1w.jpg,1960,0,97,,https://www.youtube.com/watch?v=XCB6kuOQn1g,"['human vs nature', 'diamond', 'wilderness', 'unrequited love', 'nature', 'geologist', 'siberia', 'forest fire']",3.711,La lettre inachevée,Neotpravlennoye pismo,104,7.139
6,tt0053279,Drama,FR,7.2,2340,https://image.tmdb.org/t/p/w500/fNJrIhjpfi8qbePVEcsjMtzvXFz.jpg,0,fr,"An American in Paris lives by sponging off his working friends, and throws a party using borrowed money when his rich American aunt dies, believing firmly in his horoscope.",https://image.tmdb.org/t/p/w500/b5jY3jyISYMY0ReGjqtbgaPq7dr.jpg,1962,0,103,,,[],2.998,Le signe du lion,Le signe du lion,52,6.933
7,tt0053459,"Drama,Horror",FR,7.6,35082,https://image.tmdb.org/t/p/w500/m9c23iVQk7oh6CwhiOjDYwLzniu.jpg,0,fr,"Dr. Génessier is riddled with guilt after an accident that he caused disfigures the face of his daughter, the once beautiful Christiane, who outsiders believe is dead. Dr. Génessier, along with accomplice and laboratory assistant Louise, kidnaps young women and brings them to the Génessier mansion. After rendering his victims unconscious, Dr. Génessier removes their faces and attempts to graft them on to Christiane's.",https://image.tmdb.org/t/p/w500/8y7Z9Gvcq52uOlJlUWyn2epGGRd.jpg,1960,58656,84,Beautiful women were the victims of his fiendish facials.,,"['experiment', 'surgeon', 'film noir', 'photograph', 'scientist', 'transplant', 'dove', 'ulcer']",9.055,Les yeux sans visage,Les yeux sans visage,678,7.59
8,tt0053472,"Crime,Drama",FR,7.7,87835,https://image.tmdb.org/t/p/w500/5VGmkeXybclhOqBaLprigVG9Ucz.jpg,0,fr,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he attempts to persuade a girl to run away to Italy with him.",https://image.tmdb.org/t/p/w500/9Wx0Wdn2EOqeCZU4SP6tlS3LOml.jpg,1960,0,90,,https://www.youtube.com/watch?v=MmDDJWSNr9E,"['hotel room', 'dying and death', 'newspaper', 'journalist', 'friendship', 'paris, france', 'fight', 'loss of loved one', 'gun', 'car thief', 'marseille, france', 'journalism', 'smoking', 'on the run', 'financial transactions', 'extramarital affair', 'french noir', 'runaway couple', 'nouvelle vague', 'fugitive lovers']",13.45,À bout de souffle,À bout de souffle,1726,7.548
9,tt0053580,"Adventure,Drama,History",FR,6.8,17681,https://image.tmdb.org/t/p/w500/8E70qKgcGWLTZuNFsAwZFZXFji.jpg,12000000,en,The legendary true story of a small band of soldiers who sacrificed their lives in hopeless combat against a massive army in order to prevent a tyrant from smashing the new Republic of Texas.,https://image.tmdb.org/t/p/w500/54KNQfJnYZwhI3sPYyjXtptWGfg.jpg,1960,7900000,167,The Mission That Became a Fortress! The Fortress That Became a Shrine!,,"['texas', 'assault', 'alamo', 'mexican army']",13.58,Alamo,The Alamo,329,7.172
